Month,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,,
A-rust-2018-preview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1548,274,0,32,696,99,91,0,0,0,0,0,0,0,,
A-rustbuild,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,89,0,12,0,0,0,132,36,13,28,333,513,997,55,1402,57,220,0,0,0,0,40,0,4,259,99,242,0,0,0,0,0,0,0,0,340,68,0,,
A-rustdoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,369,2,0,94,94,0,49,226,1011,127,0,0,799,0,0,0,176,2,0,82,0,72,0,1534,28,37,0,46,60,235,90,87,22,103,157,1,0,2,0,0,0,0,0,0,0,0,0,,
A-save-analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
A-stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,0,0,0,0,0,0,0,0,0,0,0,0,0,,
A-syntaxext,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,520,1718,0,0,101,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,,
A-testsuite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,18,8,0,67,0,0,59,715,1121,514,0,0,0,0,0,373,0,0,0,0,236,741,724,0,0,0,74,63,59,1,0,74031,1738,0,0,0,0,0,156,15,0,,
A-tools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,70,0,1187,0,0,183,0,0,4,1231,153,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,,
A-traits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1642,77,0,0,0,0,0,0,0,0,0,0,274,0,156,0,0,0,0,0,0,0,149,0,14,0,0,0,,
A-typesystem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,24,68,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,79,0,0,0,0,0,,
A-unicode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
A-windows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,176,130,46,0,0,53,0,0,0,6,20,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
A-x86_64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
T-compiler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,79,0,0,82,2786,32,0,0,1561,8057,107,561,8462,635,10066,3461,7659,352,1853,1055,3095,6558,5616,2733,5566,1838,1125,2105,3095,1191,1276,2778,2361,3222,6513,2132,464,4112,547,21523,3740,2208,3086,0,,
T-core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
T-dev-tools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,2,0,0,0,0,0,,
T-dev-tools-rustdoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
T-doc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46,0,626,0,0,28,4,198,33,0,327,0,4070,1933,356,41,86,0,0,906,447,0,11,8,0,2791,1113,294,0,,
T-infra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,68,128,0,0,0,0,75,0,0,2,14,129,265,28,319,0,0,,
T-lang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,367,456,104,0,0,228,0,4274,1172,44,1266,4001,1029,0,0,2717,28,463,1005,538,510,400,908,646,3381,1794,1767,406,2094,3653,2489,7238,1244,3373,2165,6213,1091,582,5306,499,3875,236,1400,8,956,0,,
T-libs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,2471,440,324,507,0,0,3073,1013,1336,621,0,182,1999,1386,206,89,4286,1980,3717,3354,263,1447,2113,1919,3506,289,359,1898,545,2830,1617,5162,13110,4205,543,49,1443,417,995,2912,687,326,4951,1656,797,1202,0,,
T-release,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,349,551,0,0,221,650,726,966,4176,0,1336,498,0,,
T-rustdoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,131,6,72,241,50,1816,248,64,118,560,4060,35,0,,
Unlabeled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66646,13861,40447,11871,53017,4791,11424,19196,32209,25349,71612,28183,18623,31491,22097,32975,87457,36688,25810,75393,60062,36388,37505,37698,15708,20808,25511,26198,18245,50448,31201,40338,38011,40254,72221,28119,42388,45692,225785,35448,51191,21510,47308,50523,44534,37963,23876,0,,
Multi,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,1140,2264,1216,2142,1902,1896,1442,2177,1614,6257,2002,216,1237,140,4583,399,1113,4920,26276,31628,1165,4309,1959,1432,2963,3820,12198,5252,3348,2396,9199,8664,2108,7042,3970,2534,10226,7605,12719,11307,2109,5010,4919,34244,10078,4693,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label,A-NLL,A-allocators,A-amusing,A-associated-items,A-async-await,A-attributes,A-bitrig,A-bsd,A-build,A-closures,A-codegen,A-collections,A-concurrency,A-const-fn,A-debuginfo,A-destructors,A-diagnostics,A-docs,A-dragonflybsd,A-dst,A-edition-2018-lints,A-frontend,A-hir,A-infrastructure,A-io,A-iterators,A-lang,A-libs,A-lifetimes,A-linkage,A-lint,A-linux,A-llvm,A-macros,A-macros-1.2,A-mir,A-openbsd,A-parallel-queries,A-parser,A-plugin,A-resolve,A-runtime,A-rust-2018-preview,A-rustbuild,A-rustdoc,A-save-analysis,A-stability,A-syntaxext,A-testsuite,A-tools,A-traits,A-typesystem,A-unicode,A-windows,A-x86_64,T-compiler,T-core,T-dev-tools,T-dev-tools-rustdoc,T-doc,T-infra,T-lang,T-libs,T-release,T-rustdoc,Unlabeled,Multi
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,39,0,0,0,0,0,0,22,0,0,0,45,0,335,668,0,0,0,0,0,0,0,0,0,1541,0,0,0,0,0,0,0,0,0,0,68,0,5,0,0,0,7,0,0,0,0,7,0,20,0,44,0,0,0,0,0,0,0,111,373,0,0,66646,873
2015-08,0,0,116,0,0,0,0,0,0,74,0,0,0,0,188,0,9,617,0,0,0,562,0,0,0,0,0,1805,0,0,0,0,0,52,0,0,0,0,0,0,153,0,0,0,369,0,0,0,0,0,0,0,0,176,0,43,0,0,0,0,0,0,2471,0,0,13861,1140
2015-09,0,0,18,208,0,195,0,0,18,0,0,0,0,0,0,0,168,298,0,84,0,21,0,0,183,0,0,166,39,144,3008,0,0,0,0,0,0,0,0,0,33,0,0,0,2,0,0,0,120,0,0,0,0,130,0,0,0,0,0,0,0,367,440,0,0,40447,2264
2015-10,0,0,0,0,0,0,0,0,41,0,0,0,0,0,10,0,72,25,0,17,0,0,0,0,0,0,2058,0,0,0,37,0,142,22,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,24,0,46,0,0,0,0,0,0,0,456,324,0,0,11871,1216
2015-11,0,0,0,170,0,0,0,0,13,0,0,0,0,0,0,0,253,1759,0,0,0,0,0,0,0,0,0,963,0,0,0,0,0,52,0,0,0,0,0,0,345,0,0,0,94,0,0,0,0,0,0,68,0,0,0,79,0,0,0,0,0,104,507,0,0,53017,2142
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1809,649,0,428,0,0,0,0,0,0,0,4579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4791,1902
